hour,day,month,year,PM2.5,PM10,SO2,NO2,RAIN,TEMP
0,7,3,2013,270.0,347.0,108.0,129.0,0.0,1.5
1,7,3,2013,276.0,349.0,99.0,124.0,0.0,0.7
2,7,3,2013,257.0,323.0,82.0,118.0,0.0,1.5
3,7,3,2013,237.0,310.0,47.0,109.0,0.0,0.3
4,7,3,2013,238.0,310.0,41.0,103.0,0.0,-0.9
5,7,3,2013,242.0,309.0,35.0,103.0,0.0,1.6
6,7,3,2013,254.0,325.0,35.0,102.0,0.0,0.3
7,7,3,2013,266.0,337.0,36.0,103.0,0.0,2.4
8,7,3,2013,333.0,414.0,54.0,114.0,0.0,8.3
9,7,3,2013,379.0,506.0,138.0,137.0,0.0,10.1
10,7,3,2013,370.0,504.0,137.0,167.0,0.0,12.7
11,7,3,2013,399.0,493.0,146.0,176.0,0.0,16.5
12,7,3,2013,347.0,401.0,136.0,173.0,0.0,17.1
13,7,3,2013,276.0,295.0,81.0,170.0,0.0,17.7
14,7,3,2013,202.0,240.0,84.0,133.0,0.0,18.3
15,7,3,2013,244.0,246.0,57.0,96.0,0.0,18.6
16,7,3,2013,3.0,6.0,52.0,70.0,0.0,17.9
17,7,3,2013,3.0,6.0,70.0,88.0,0.0,15.4
18,7,3,2013,3.0,258.0,77.0,130.0,0.0,14.4
19,7,3,2013,122.0,310.0,77.0,161.0,0.0,13.4
20,7,3,2013,188.0,332.0,78.0,176.0,0.0,11.8
21,7,3,2013,251.0,341.0,86.0,174.0,0.0,9.2
22,7,3,2013,236.0,342.0,83.0,176.0,0.0,7.5
23,7,3,2013,316.0,336.0,80.0,174.0,0.0,6.6
0,8,3,2013,158.0,358.0,77.0,174.0,0.0,4.1
1,8,3,2013,350.0,354.0,75.0,168.0,0.0,3.3
2,8,3,2013,313.0,373.0,62.0,151.0,0.0,2.5
3,8,3,2013,299.0,324.0,56.0,147.0,0.0,1.8
4,8,3,2013,287.0,342.0,58.0,144.0,0.0,1.3
5,8,3,2013,313.0,335.0,55.0,144.0,0.0,1.4
6,8,3,2013,302.0,336.0,48.0,134.0,0.0,1.1
7,8,3,2013,299.0,337.0,43.0,129.0,0.0,5.7
8,8,3,2013,290.0,355.0,66.0,127.0,0.0,10.9
9,8,3,2013,56.0,108.0,132.0,154.0,0.0,16.9
10,8,3,2013,277.0,360.0,122.2368,188.6707,0.0,19.1
11,8,3,2013,297.0,346.0,83.0,192.0,0.0,20.5
12,8,3,2013,248.0,255.0,53.0,142.0,0.0,21.7
13,8,3,2013,195.0,254.0,40.0,96.0,0.0,22.5
14,8,3,2013,179.0,236.0,39.0,81.0,0.0,17.4
15,8,3,2013,289.0,476.0,75.0,112.0,0.0,13.9
16,8,3,2013,215.0,400.0,77.0,98.0,0.0,11.9
17,8,3,2013,142.0,242.0,58.0,78.0,0.0,10.3
18,8,3,2013,118.0,171.0,45.0,72.0,0.0,9.3
19,8,3,2013,75.0,127.0,40.0,68.0,0.0,8.0
20,8,3,2013,91.0,138.0,37.0,75.0,0.0,7.9
21,8,3,2013,95.0,123.0,38.0,77.0,0.0,7.2
22,8,3,2013,82.0,102.0,34.0,75.0,0.0,6.3
23,8,3,2013,85.0,117.0,43.0,78.0,0.0,5.7
0,9,3,2013,83.0,94.0,50.0,72.0,0.0,3.6
1,9,3,2013,87.0,88.0,45.0,67.0,0.0,2.1
2,9,3,2013,68.0,106.0,43.5,69.0,0.0,1.4
3,9,3,2013,108.0,111.0,42.0,77.0,0.0,1.1
4,9,3,2013,95.0,119.0,33.0,79.5,0.0,1.8
5,9,3,2013,94.0,137.0,36.0,82.0,0.0,3.2
6,9,3,2013,106.0,143.0,34.0,83.0,0.0,2.8
7,9,3,2013,101.0,159.0,41.0,79.0,0.0,4.6
8,9,3,2013,105.0,175.0,48.0,76.0,0.0,8.4
9,9,3,2013,105.0,166.0,80.0,76.0,0.0,16.3
10,9,3,2013,149.0,499.0,84.0,62.0,0.0,16.7
11,9,3,2013,87.0,829.0,36.0,34.0,0.0,14.3
12,9,3,2013,74.0,779.0,9.4248,20.53,0.0,12.4
13,9,3,2013,76.0,729.0,5.0,17.0,0.0,10.3
14,9,3,2013,74.0,679.0,4.0,16.0,0.0,10.5
15,9,3,2013,41.0,629.0,3.0,14.0,0.0,10.2
16,9,3,2013,26.0,344.0,3.0,14.0,0.0,10.5
17,9,3,2013,14.0,193.0,3.0,16.0,0.0,8.6
18,9,3,2013,11.0,151.0,4.0,22.0,0.0,7.4
19,9,3,2013,14.0,120.0,4.0,22.0,0.0,6.4
20,9,3,2013,23.0,93.0,6.0,22.0,0.0,5.6
21,9,3,2013,14.0,68.0,7.0,24.0,0.0,4.8
22,9,3,2013,17.0,54.0,6.0,27.0,0.0,3.8
23,9,3,2013,12.0,44.0,10.0,37.0,0.0,0.8
0,10,3,2013,19.0,44.0,8.0,46.0,0.0,-0.5
1,10,3,2013,13.0,31.0,8.0,48.0,0.0,-0.2
2,10,3,2013,21.0,29.0,9.0,49.0,0.0,-2.1
3,10,3,2013,16.0,35.0,8.0,55.0,0.0,-2.0
4,10,3,2013,22.0,30.0,8.0,62.0,0.0,-1.3
5,10,3,2013,16.0,20.0,8.0,66.0,0.0,-1.8
6,10,3,2013,14.0,38.0,11.0,71.0,0.0,-2.0
7,10,3,2013,30.0,59.0,27.0,78.0,0.0,3.5
8,10,3,2013,26.0,58.0,28.0,70.0,0.0,5.3
9,10,3,2013,21.0,64.0,22.0,58.0,0.0,6.8
10,10,3,2013,31.0,64.0,18.0,53.0,0.0,8.3
11,10,3,2013,34.0,72.0,18.0,50.0,0.0,9.8
12,10,3,2013,44.0,64.0,20.0,49.0,0.0,10.4
13,10,3,2013,27.0,55.0,18.0,48.0,0.0,11.2
14,10,3,2013,31.0,53.0,13.0,47.0,0.0,11.4
15,10,3,2013,25.0,68.0,12.0,47.0,0.0,11.3
16,10,3,2013,32.0,79.0,12.0,52.0,0.0,10.4
17,10,3,2013,41.0,90.0,16.0,55.0,0.0,9.1
18,10,3,2013,45.0,96.0,18.0,62.0,0.0,8.2
19,10,3,2013,61.0,104.0,19.0,68.0,0.0,7.7
20,10,3,2013,74.0,125.0,28.0,76.0,0.0,7.4
21,10,3,2013,79.0,136.0,35.0,82.0,0.0,6.5
22,10,3,2013,91.0,146.0,48.0,87.0,0.0,5.9
23,10,3,2013,101.0,155.0,43.0,89.0,0.0,3.0
0,11,3,2013,106.0,170.0,45.0,90.0,0.0,0.3
1,11,3,2013,113.0,170.0,41.0,89.0,0.0,-0.7
2,11,3,2013,111.0,169.0,43.0,86.0,0.0,-1.7
3,11,3,2013,122.0,169.0,42.0,82.0,0.0,-2.1
4,11,3,2013,117.0,186.0,41.0,79.0,0.0,-1.6
5,11,3,2013,107.0,182.0,20.0,77.0,0.0,-2.3
6,11,3,2013,107.0,160.0,22.0,78.0,0.0,-2.1
7,11,3,2013,106.0,172.0,29.0,76.0,0.0,1.3
8,11,3,2013,109.0,169.0,48.0,78.0,0.0,3.1
9,11,3,2013,115.0,192.0,72.0,79.0,0.0,4.6
10,11,3,2013,125.0,179.0,76.0,81.0,0.0,6.7
11,11,3,2013,146.0,193.0,76.0,85.0,0.0,7.6
12,11,3,2013,153.0,189.0,79.0,92.0,0.0,9.7
13,11,3,2013,157.0,208.0,84.0,103.0,0.0,11.3
14,11,3,2013,134.0,167.0,78.0,91.0,0.0,11.4
15,11,3,2013,109.0,135.0,89.0,72.0,0.0,10.7
16,11,3,2013,140.0,184.0,106.0,83.0,0.0,10.4
17,11,3,2013,147.0,205.0,115.0,93.0,0.0,9.7
18,11,3,2013,168.0,244.0,148.0,104.0,0.0,9.7
19,11,3,2013,176.0,265.0,156.0,110.0,0.0,9.6
20,11,3,2013,202.0,273.0,158.0,112.0,0.0,9.8
21,11,3,2013,201.0,279.0,144.0,112.0,0.0,9.6
22,11,3,2013,205.0,262.0,115.0,107.0,0.0,9.3
23,11,3,2013,183.0,228.0,90.0,99.0,0.0,8.6
0,12,3,2013,96.0,124.0,51.0,84.0,0.0,6.3
1,12,3,2013,101.0,130.0,51.0,84.0,0.0,4.8
2,12,3,2013,119.0,161.0,51.0,82.0,0.0,5.3
3,12,3,2013,117.0,148.0,58.0,78.0,0.1,6.4
4,12,3,2013,135.0,232.0,46.0,78.0,0.4,4.3
5,12,3,2013,179.0,233.0,19.0,76.0,0.1,4.7
6,12,3,2013,155.0,169.0,12.0,74.0,0.9,4.1
7,12,3,2013,154.0,170.0,14.0,68.0,0.9,3.5
8,12,3,2013,125.0,171.0,10.0,72.0,0.4,3.1
9,12,3,2013,91.0,106.0,10.0,70.0,0.0,3.4
10,12,3,2013,106.0,116.0,8.0,70.0,0.0,3.7
11,12,3,2013,107.0,116.0,8.0,70.0,0.0,4.4
12,12,3,2013,158.0,158.0,14.0,70.5,0.0,4.8
13,12,3,2013,156.0,113.0,20.0,71.0,0.1,5.3
14,12,3,2013,152.0,119.0,17.0,69.0,0.0,5.6
15,12,3,2013,150.0,105.0,22.0,69.0,0.0,6.4
16,12,3,2013,137.0,104.0,25.0,67.0,0.0,6.6
17,12,3,2013,116.0,119.0,30.0,67.0,0.0,6.4
18,12,3,2013,133.0,138.0,29.0,96.5,0.0,5.8
19,12,3,2013,134.0,159.0,26.0,126.0,0.0,3.3
20,12,3,2013,149.0,171.0,17.0,126.0,0.0,2.9
21,12,3,2013,158.0,171.0,15.0,127.0,0.0,3.6
22,12,3,2013,161.0,171.0,13.0,118.0,0.0,1.9
23,12,3,2013,136.0,159.0,14.0,120.0,0.0,3.8
0,13,3,2013,91.0,159.0,21.0,117.0,0.0,3.4
1,13,3,2013,27.0,27.0,24.0,82.0,0.0,2.7
2,13,3,2013,3.0,6.0,19.0,74.0,0.0,2.8
3,13,3,2013,3.0,6.0,18.0,62.0,0.0,2.4
4,13,3,2013,3.0,10.0,17.0,51.0,0.0,0.3
5,13,3,2013,3.0,9.0,15.0,60.0,0.0,-0.9
6,13,3,2013,3.0,10.0,14.0,54.0,0.0,0.8
7,13,3,2013,19.0,32.0,14.0,80.0,0.0,3.7
8,13,3,2013,24.0,36.0,24.0,83.0,0.0,4.8
9,13,3,2013,22.0,24.0,23.0,58.0,0.0,5.5
10,13,3,2013,13.0,20.0,25.0,59.0,0.0,6.4
11,13,3,2013,7.0,15.0,28.0,48.0,0.0,6.6
12,13,3,2013,3.0,9.0,29.0,42.0,0.0,7.6
13,13,3,2013,3.0,6.0,11.0,40.0,0.0,8.5
14,13,3,2013,29.0,7.0,13.0,41.0,0.0,9.5
15,13,3,2013,3.0,10.0,12.0,48.0,0.0,9.7
16,13,3,2013,3.0,11.0,11.0,51.0,0.0,9.1
17,13,3,2013,6.0,22.0,11.0,57.0,0.0,7.1
18,13,3,2013,31.0,45.0,14.0,83.0,0.0,6.1
19,13,3,2013,41.0,64.0,19.0,98.0,0.0,5.5
20,13,3,2013,44.0,54.0,20.0,100.0,0.0,5.0
21,13,3,2013,45.0,49.0,22.0,104.0,0.0,4.8
22,13,3,2013,46.0,55.0,19.0,101.0,0.0,4.0
23,13,3,2013,49.0,55.0,22.0,93.0,0.0,2.9
0,14,3,2013,86.0,107.0,22.0,96.0,0.0,2.5
1,14,3,2013,80.0,94.0,15.0,85.0,0.0,1.6
2,14,3,2013,74.0,75.0,12.0,71.0,0.0,1.3
3,14,3,2013,50.0,63.0,15.0,63.0,0.0,-0.1
4,14,3,2013,50.0,62.0,15.0,63.0,0.0,-0.5
5,14,3,2013,70.0,76.0,13.0,75.0,0.0,-0.8
6,14,3,2013,90.0,108.0,11.0,86.0,0.0,-0.8
7,14,3,2013,84.0,100.0,14.0,86.0,0.0,-0.4
8,14,3,2013,84.0,100.0,22.0,85.0,0.0,0.5
9,14,3,2013,91.0,110.0,36.0,84.0,0.0,2.2
10,14,3,2013,108.0,134.0,64.0,87.0,0.0,3.9
11,14,3,2013,111.0,123.0,79.0,85.0,0.0,5.5
12,14,3,2013,128.0,134.0,78.0,100.0,0.0,7.2
13,14,3,2013,131.0,133.0,75.0,101.0,0.0,8.7
14,14,3,2013,91.0,110.0,108.0,78.0,0.0,9.9
15,14,3,2013,82.0,108.0,116.0,78.0,0.0,9.3
16,14,3,2013,107.0,116.0,107.0,86.0,0.0,8.6
17,14,3,2013,123.0,130.0,112.0,98.0,0.0,7.6
18,14,3,2013,129.0,149.0,100.0,105.0,0.0,6.8
19,14,3,2013,139.0,154.0,87.0,110.0,0.0,6.2
20,14,3,2013,126.0,139.0,82.0,123.0,0.0,5.9
21,14,3,2013,138.0,165.0,72.0,123.0,0.0,3.5
22,14,3,2013,162.0,191.0,64.0,122.0,0.0,1.4
23,14,3,2013,171.0,210.0,51.0,128.0,0.0,1.6
0,15,3,2013,181.0,238.0,47.0,136.0,0.0,2.3
1,15,3,2013,185.0,222.0,33.0,132.0,0.0,2.4
2,15,3,2013,187.0,202.0,51.0,134.0,0.0,2.0
3,15,3,2013,179.0,192.0,57.0,129.0,0.0,1.5
4,15,3,2013,165.0,174.0,54.0,122.0,0.0,1.0
5,15,3,2013,158.0,172.0,54.0,117.0,0.0,0.7
6,15,3,2013,164.0,175.0,48.0,116.0,0.0,0.6
7,15,3,2013,171.0,207.0,35.0,120.0,0.0,2.4
8,15,3,2013,171.0,214.0,57.0,127.0,0.0,4.2
9,15,3,2013,178.0,198.0,99.0,124.0,0.0,6.4
10,15,3,2013,179.0,199.0,100.0,125.0,0.0,8.1
11,15,3,2013,202.0,211.0,149.0,106.0,0.0,9.0
12,15,3,2013,167.0,206.0,136.0,96.0,0.0,10.3
13,15,3,2013,178.0,215.0,127.0,106.0,0.0,12.0
14,15,3,2013,186.0,223.0,115.0,124.0,0.0,12.2
15,15,3,2013,272.0,297.0,107.0,179.0,0.0,12.3
16,15,3,2013,308.0,332.0,108.0,178.0,0.0,11.5
17,15,3,2013,286.0,296.0,92.0,134.0,0.0,10.6
18,15,3,2013,286.0,303.0,83.0,138.0,0.0,9.1
19,15,3,2013,298.0,322.0,82.0,149.0,0.0,7.0
20,15,3,2013,318.0,344.0,85.0,151.0,0.0,6.3
21,15,3,2013,324.0,361.0,77.0,152.0,0.0,7.1
22,15,3,2013,326.0,372.0,66.0,146.0,0.0,7.3
23,15,3,2013,333.0,357.0,77.0,174.0,0.0,7.3
0,16,3,2013,348.0,375.0,66.0,165.0,0.0,6.5
1,16,3,2013,332.0,341.0,64.0,151.0,0.0,5.9
2,16,3,2013,314.0,327.0,64.0,142.0,0.0,5.9
3,16,3,2013,316.0,318.0,67.0,140.0,0.0,5.6
4,16,3,2013,318.0,318.0,62.0,141.0,0.0,3.9
5,16,3,2013,267.0,327.0,59.0,126.0,0.0,5.3
6,16,3,2013,270.0,314.0,54.0,117.0,0.0,4.8
7,16,3,2013,264.0,296.0,50.0,112.0,0.0,6.0
8,16,3,2013,268.0,322.0,66.0,111.0,0.0,8.4
9,16,3,2013,271.0,295.0,119.0,112.0,0.0,10.7
10,16,3,2013,248.0,270.0,155.0,115.0,0.0,12.6
11,16,3,2013,264.0,223.0,116.0,116.0,0.0,13.5
12,16,3,2013,184.0,201.0,93.0,111.0,0.0,14.0
13,16,3,2013,219.0,202.0,87.0,105.0,0.0,14.1
14,16,3,2013,134.0,145.0,75.0,87.0,0.0,14.5
15,16,3,2013,139.0,160.0,76.0,93.0,0.0,13.6
16,16,3,2013,223.0,225.0,84.0,113.0,0.0,12.9
17,16,3,2013,184.0,231.0,93.0,125.0,0.0,12.4
18,16,3,2013,279.0,285.0,102.0,142.0,0.0,12.0
19,16,3,2013,281.0,289.0,100.0,158.0,0.0,10.8
20,16,3,2013,214.0,220.0,72.0,116.0,0.0,10.0
21,16,3,2013,207.0,224.0,70.0,111.0,0.0,9.2
22,16,3,2013,236.0,195.0,66.0,103.0,0.0,8.3
23,16,3,2013,174.0,199.0,54.0,115.0,0.0,7.8
0,17,3,2013,170.0,196.0,51.0,119.0,0.0,7.2
1,17,3,2013,239.0,240.0,57.0,118.0,0.0,6.5
2,17,3,2013,184.0,218.0,58.0,114.0,0.0,5.6
3,17,3,2013,179.0,210.0,53.0,109.0,0.0,6.8
4,17,3,2013,184.0,204.0,62.0,109.0,0.0,5.9
5,17,3,2013,179.0,198.0,61.0,107.0,0.0,5.3
6,17,3,2013,178.0,202.0,57.0,106.0,0.0,4.2
7,17,3,2013,180.0,204.0,47.0,103.0,0.0,5.6
8,17,3,2013,239.0,246.0,44.0,98.0,0.0,7.6
9,17,3,2013,254.0,262.0,90.0,108.0,0.0,9.3
10,17,3,2013,277.0,280.0,121.0,120.0,0.0,10.6
11,17,3,2013,288.0,290.0,139.0,135.0,0.0,12.9
12,17,3,2013,244.0,301.0,126.0,144.0,0.0,14.4
13,17,3,2013,279.0,348.0,124.0,151.0,0.0,15.1
14,17,3,2013,311.0,371.0,123.0,154.0,0.0,15.9
15,17,3,2013,331.0,397.0,118.0,167.0,0.0,15.5
16,17,3,2013,348.0,397.0,104.0,146.0,0.0,15.3
17,17,3,2013,346.0,392.0,96.0,136.0,0.0,14.1
18,17,3,2013,343.0,381.0,83.0,142.0,0.0,12.0
19,17,3,2013,337.0,396.0,66.0,165.0,0.0,9.3
20,17,3,2013,424.0,433.0,50.0,190.0,0.0,11.5
21,17,3,2013,436.0,463.0,53.0,205.0,0.0,10.9
22,17,3,2013,479.0,488.0,69.0,212.0,0.0,10.0
23,17,3,2013,409.0,483.0,67.0,207.0,0.0,8.7
0,18,3,2013,422.0,478.0,62.0,195.0,0.0,9.0
1,18,3,2013,402.0,402.0,59.0,181.0,0.0,8.8
2,18,3,2013,343.0,402.0,59.0,146.0,0.0,10.9
3,18,3,2013,118.0,141.0,43.0,84.0,0.0,11.4
4,18,3,2013,35.0,141.0,17.0,84.0,0.0,10.5
5,18,3,2013,29.0,196.0,12.0,20.0,0.0,8.6
6,18,3,2013,26.0,62.0,13.0,16.0,0.0,7.0
7,18,3,2013,3.0,6.0,14.0,24.0,0.0,6.2
8,18,3,2013,3.0,6.0,9.0,28.0,0.0,6.5
9,18,3,2013,3.0,6.0,6.0,26.0,0.0,8.7
10,18,3,2013,3.0,20.0,6.0,22.0,0.0,9.4
11,18,3,2013,20.0,6.0,9.0,16.0,0.0,10.5
